,train_loss,valid_acc
0,2.258426237106323,21.6
1,2.217743819952011,15.0
2,2.2197350442409514,21.7
3,2.192932653427124,26.1
4,2.1875772356986998,24.7
5,2.1786419093608855,23.0
6,2.1749411821365356,20.4
7,2.162221449613571,27.900000000000002
8,2.1546785712242125,25.2
9,2.1485514402389527,29.2
10,2.132686311006546,27.400000000000002
11,2.125431501865387,28.999999999999996
12,2.1232074320316316,32.4
13,2.1414070963859557,30.8
14,2.136752665042877,23.9
15,2.132601851224899,33.900000000000006
16,2.1166611552238463,29.9
17,2.100570297241211,33.4
18,2.129223981499672,29.799999999999997
19,2.1122255682945252,33.0
20,2.0930412620306016,33.4
21,2.122383123636246,32.1
22,2.0972704201936723,33.900000000000006
23,2.0779310286045076,32.9
24,2.08739555478096,33.900000000000006
25,2.0787419378757477,30.8
26,2.080078101158142,36.5
27,2.0695714473724367,36.199999999999996
28,2.0684870004653932,32.9
29,2.0607150852680207,35.099999999999994
30,2.0837504655122756,32.7
31,2.0597188830375672,37.8
32,2.0564280420541765,34.4
33,2.0609308272600173,35.9
34,2.0470266461372377,32.800000000000004
35,2.0580215752124786,35.9
36,2.035788947343826,38.3
37,2.0528281331062317,38.6
38,2.0486843317747114,29.9
39,2.0428453743457795,37.6
40,2.044843152165413,36.0
41,2.0400854766368868,40.8
42,2.0217975616455077,36.3
43,2.030623975396156,37.7
44,2.035276657342911,39.0
45,2.028475046157837,39.300000000000004
46,2.028180104494095,37.8
47,2.0218032151460648,35.9
48,2.0237722992897034,37.7
49,2.0155216842889785,41.6
50,2.007401075959206,39.800000000000004
51,1.9936045140028,39.900000000000006
52,2.001751869916916,42.0
53,2.0084344148635864,39.1
54,2.0006698191165926,37.2
55,2.0103444546461104,43.0
56,1.999923411011696,41.199999999999996
57,1.9792669266462326,38.0
58,1.996740108728409,40.1
59,1.989314892888069,40.2
60,1.993317037820816,44.5
61,1.9898664772510528,39.6
62,1.987994086742401,41.3
63,1.9756722718477249,41.0
64,1.977540123462677,42.199999999999996
65,1.9803643316030501,40.8
66,1.9850374341011048,41.9
67,1.9728679746389388,41.4
68,1.9731367886066438,43.0
69,1.9725237101316453,42.0
70,1.976092481613159,40.1
71,1.9731695353984833,44.0
72,1.9615743964910508,41.099999999999994
73,1.9488600075244904,44.7
74,1.9558048874139786,44.9
75,1.958381548523903,43.3
76,1.9538397520780564,42.199999999999996
77,1.9515612363815307,43.8
78,1.9457314908504486,46.800000000000004
79,1.94589703977108,45.0
80,1.9363954693078995,44.2
81,1.9197438061237335,45.6
82,1.9093862771987915,48.0
83,1.9360250055789947,43.0
84,1.9363839983940125,44.4
85,1.9217216938734054,45.1
86,1.922462236881256,44.3
87,1.9348842650651932,46.2
88,1.9114461630582809,43.2
89,1.9211193352937699,45.9
90,1.920255923271179,48.699999999999996
91,1.9227473616600037,46.6
92,1.9143179655075073,47.699999999999996
93,1.9096621066331863,44.800000000000004
94,1.9191675692796708,45.2
95,1.9018282741308212,46.2
96,1.9028678238391876,47.4
97,1.8955884128808975,43.8
98,1.8998726636171341,48.1
99,1.8993732541799546,49.1
