,train_loss,valid_acc
0,1.8154178380966186,62.0
1,1.802183809876442,61.199999999999996
2,1.783240807056427,61.3
3,1.7934800177812575,62.1
4,1.7970035642385482,61.5
5,1.7869619339704514,62.9
6,1.7833844691514968,60.4
7,1.763122907280922,61.6
8,1.769004836678505,61.199999999999996
9,1.7796583950519562,60.199999999999996
10,1.7799436897039413,63.7
11,1.7637516021728517,60.6
12,1.773674523830414,62.2
13,1.7498301416635513,63.0
14,1.7637551188468934,60.4
15,1.7601526170969009,60.8
16,1.770962929725647,61.7
17,1.7635765492916107,64.0
18,1.7642921298742293,62.1
19,1.7586354285478591,62.1
20,1.758726069331169,63.6
21,1.7544829070568084,61.7
22,1.7534374058246613,63.7
23,1.7605519741773605,62.4
24,1.7398166000843047,62.1
25,1.7396777421236038,64.8
26,1.7462168782949448,61.0
27,1.746096271276474,64.9
28,1.7430844098329543,60.099999999999994
29,1.741438442468643,61.7
30,1.735836237668991,63.6
31,1.721413579583168,63.3
32,1.7298365652561187,63.2
33,1.730565032362938,61.199999999999996
34,1.724613156914711,63.6
35,1.7341091930866241,63.1
36,1.7343738108873368,63.9
37,1.7333616107702254,64.3
38,1.725801020860672,62.7
39,1.744200974702835,63.0
40,1.7241231828927994,62.8
41,1.7249367594718934,65.10000000000001
42,1.7193307250738143,65.0
43,1.7137268364429474,61.1
44,1.7174585849046706,63.4
45,1.7220198124647141,62.3
46,1.7065069317817687,64.7
47,1.7083608478307724,65.10000000000001
48,1.7074019402265548,65.10000000000001
49,1.7137252986431122,62.4
