,train_loss,valid_acc
0,0.6399334330111742,71.39999999999999
1,0.5950285505503417,69.8
2,0.5399964418262243,69.89999999999999
3,0.5012616444379091,69.89999999999999
4,0.4549907369539142,68.4
5,0.4343345692381263,68.5
6,0.389066531509161,71.6
7,0.37423871699720623,70.5
8,0.31160858664661645,69.6
9,0.2737463414669037,70.0
10,0.2667757719755173,70.6
11,0.2448097413405776,71.7
12,0.19554760162718593,72.0
13,0.17329749874770642,70.5
14,0.16378385382704436,71.2
15,0.17522193095646799,71.1
16,0.15727186668664217,71.1
17,0.13464902848936616,70.7
18,0.11703164498321712,72.0
19,0.11494640258606523,70.5
20,0.11250246113631875,69.89999999999999
21,0.09510497702285647,70.89999999999999
22,0.09039950636215507,70.3
23,0.08010659387800842,70.7
24,0.08317494937218725,69.19999999999999
