,T_loss,S_loss,S_valid_acc
0,6.782675766944886,2.201862980425358,16.6
1,6.690636563301086,1.9393013581633567,19.400000000000002
2,6.671302676200867,1.8587980896234513,21.5
3,6.667969977855682,1.8610514014959336,17.7
4,6.615834957361221,1.9291352525353431,21.4
5,6.664554870128631,2.1012903481721876,16.6
6,6.7340734004974365,2.0464457362890243,18.5
7,6.654567736387253,2.050227527320385,15.1
8,6.652944475412369,1.988699448108673,18.099999999999998
9,6.6619313061237335,1.8922009080648423,20.9
10,6.636382859945297,1.97530517578125,18.3
11,6.660757666826248,1.991237312555313,18.4
12,6.6490299046039585,1.9493813902139663,18.5
13,6.6326557993888855,1.9917991697788238,18.9
14,6.624644154310227,1.9693990811705588,20.4
15,6.678793585300445,2.0541400000452996,19.3
16,6.637612110376358,2.1353148221969604,17.599999999999998
17,6.593332636356354,1.9489726841449737,20.9
18,6.5832376182079315,1.9599209174513816,20.0
19,6.590541988611221,2.0301226764917373,19.3
20,6.533098101615906,2.0697457015514376,19.8
21,6.575906533002853,2.1212269872426988,18.3
22,6.543793952465057,2.0889975756406782,20.599999999999998
23,6.5463557004928585,2.0119466692209245,20.1
24,6.568354231119156,2.1214854925870896,19.2
25,6.567448741197586,2.055484947562218,19.900000000000002
26,6.564873427152634,2.013707956671715,18.3
27,6.524987572431565,2.075590819120407,19.900000000000002
28,6.553259229660034,2.103489784896374,19.5
29,6.535194689035416,2.1393879488110543,20.1
30,6.50394703745842,2.090782544016838,21.3
31,6.538463306427002,2.0920047357678415,20.599999999999998
32,6.500579607486725,2.0720139354467393,20.1
33,6.466862887144089,2.04188129901886,19.3
34,6.501552540063858,2.112543448805809,21.2
35,6.511457955837249,2.1064014703035356,20.4
36,6.502105695009232,2.178369989991188,18.4
37,6.501365596055985,2.148910494148731,19.6
38,6.520379436016083,2.1389759868383407,19.3
39,6.480580151081085,2.1180094182491302,20.599999999999998
40,6.466679835319519,2.0890456259250643,19.7
41,6.47157199382782,2.0391943976283073,19.0
42,6.468699568510056,2.0529233053326608,20.0
43,6.495337319374085,2.1193841457366944,20.1
44,6.563333362340927,2.1641744405031202,18.0
45,6.592559176683426,2.1100246787071226,19.0
46,6.515224403142929,2.014006495475769,19.900000000000002
47,6.488950860500336,2.0607901394367216,21.8
48,6.4771394491195675,2.0258247151970865,19.7
49,6.47958921790123,2.0883933931589125,20.5
50,6.477717709541321,2.1056836932897567,19.8
51,6.457910335063934,2.0406884029507637,21.4
52,6.49566022157669,2.0138390600681304,21.5
53,6.518610590696335,2.0405081108212473,20.7
54,6.443941187858582,2.0864925414323805,20.7
55,6.44915401339531,2.0996630236506464,21.099999999999998
56,6.490684086084366,2.1049685791134833,20.599999999999998
57,6.490506327152252,2.1223619267344476,19.6
58,6.473372018337249,2.078817717730999,21.8
59,6.449884676933289,2.0901147797703743,20.3
60,6.457847434282303,2.1105998277664186,21.9
61,6.493584114313125,2.096103811264038,20.200000000000003
62,6.454582911729813,2.0725162759423257,21.5
63,6.440110599994659,2.0661774039268495,21.5
64,6.517532867193222,2.133725956082344,21.6
65,6.50086133480072,2.0731882393360137,19.900000000000002
66,6.52538782954216,2.0306115701794623,21.3
67,6.481395536661148,2.0851985618472098,17.2
68,6.481803369522095,2.139373716711998,20.200000000000003
69,6.4673155605793,2.1009123116731643,20.1
70,6.454129987955094,2.1332726210355757,21.4
71,6.426359820365906,2.1440524756908417,22.2
72,6.402669990062714,2.0830909088253975,21.6
73,6.421466535329818,2.079469068348408,21.6
74,6.443093663454055,2.1357148081064223,21.6
75,6.405420994758606,2.1131183207035065,20.9
76,6.459775173664093,2.068385289609432,19.3
77,6.439808857440949,2.0783808901906013,22.1
78,6.393530982732773,2.0194955214858057,21.5
79,6.398019069433213,2.0742354556918143,22.1
80,6.4057250082492825,2.057316978275776,21.5
81,6.417458337545395,2.0871215924620627,21.6
82,6.395908707380295,2.0147102266550063,22.1
83,6.400296610593796,2.0100742295384406,21.4
84,6.402902060747147,2.033328449726105,21.9
85,6.375121796131134,2.084329943358898,20.599999999999998
86,6.380011230707169,2.014074419438839,21.5
87,6.334729927778244,2.0536720469594,21.7
88,6.369700568914413,2.11204230338335,22.5
89,6.39834371805191,2.1168847516179086,22.1
90,6.372284919023514,2.1039426922798157,22.2
91,6.346629279851913,2.093821592628956,22.8
92,6.3616944551467896,2.0700889348983766,21.099999999999998
93,6.33289498090744,2.0970163509249686,22.1
94,6.3098367869853975,2.078685511648655,22.7
95,6.287357258796692,2.0976308375597,22.1
96,6.3171813011169435,2.0650574535131456,22.1
97,6.359197938442231,2.05276285558939,21.2
98,6.300895702838898,2.0987078875303267,23.200000000000003
99,6.3323649823665615,2.0700213104486465,23.1
100,6.372195637226104,2.07266436368227,21.9
101,6.328735381364822,2.0529591634869577,21.6
102,6.3089649200439455,2.0481212928891184,22.0
103,6.30483570098877,2.0919003963470457,21.5
104,6.284205180406571,2.044169506430626,20.7
105,6.32987631559372,2.053022265434265,21.0
106,6.302507162094116,2.0882507115602493,22.8
107,6.306145596504211,2.1114079296588897,21.7
108,6.307969665527343,2.0957965418696403,22.400000000000002
