,train_loss,valid_acc
0,2.200857734680176,24.4
1,2.19133879840374,25.5
2,2.1931724548339844,22.900000000000002
3,2.19098257124424,23.9
4,2.188913422822952,26.1
5,2.1819286197423935,26.6
6,2.1830990299582482,26.400000000000002
7,2.1769649624824523,27.1
8,2.1815525025129316,26.3
9,2.181022310256958,25.4
10,2.1780158251523973,26.700000000000003
11,2.172069862484932,27.700000000000003
12,2.169940024614334,26.700000000000003
13,2.174771362543106,26.3
14,2.175663149356842,26.5
15,2.171319492161274,27.200000000000003
16,2.1731733947992327,25.6
17,2.1660438969731333,25.900000000000002
18,2.1647547110915184,27.900000000000002
19,2.172288458049297,26.400000000000002
20,2.170394632220268,25.6
21,2.1688486516475676,26.900000000000002
22,2.166792829334736,27.400000000000002
23,2.1645044028759,28.1
24,2.1659398287534715,26.200000000000003
