,S_loss,S_valid_acc
0,3.8765266716480253,38.1
1,3.2009335696697234,41.3
2,2.9665678203105927,41.8
3,2.811713609099388,46.9
4,2.6435054898262025,42.3
5,2.4875562846660615,55.00000000000001
6,2.4421400383114813,52.300000000000004
7,2.301114206016064,52.800000000000004
8,2.2587996244430544,48.199999999999996
9,2.1894247964024545,54.900000000000006
10,2.1463542565703393,59.199999999999996
11,2.0631877183914185,51.2
12,2.0345845744013786,56.99999999999999
13,1.9723096281290053,58.599999999999994
14,1.932237833738327,54.300000000000004
15,1.9043820813298225,53.0
16,1.857650674879551,58.199999999999996
17,1.8140840336680413,56.599999999999994
18,1.7988751024007796,57.99999999999999
19,1.7387087225914002,59.599999999999994
20,1.7029846638441086,57.99999999999999
21,1.6770668029785156,58.8
22,1.6259742021560668,58.4
23,1.60418571382761,58.3
24,1.6055936351418496,62.5
25,1.5803296446800232,60.8
26,1.5693345189094543,62.4
27,1.5585091531276702,61.0
28,1.5337948963046073,61.8
29,1.494283416867256,59.8
30,1.4745863154530525,64.1
31,1.4487952396273613,62.1
32,1.4539798870682716,63.1
33,1.4324284508824348,63.9
34,1.3769094571471214,63.5
35,1.3628832176327705,62.0
36,1.351032317429781,61.4
37,1.3420003302395345,61.4
38,1.317574329674244,64.1
39,1.2936418794095517,61.199999999999996
40,1.337706409394741,61.8
41,1.2766861245036125,63.4
42,1.256501553952694,64.60000000000001
43,1.2632576078176498,66.10000000000001
44,1.2658212706446648,62.7
45,1.1791130855679512,65.8
46,1.2150603346526623,64.2
47,1.185662419348955,65.4
48,1.1985955454409123,63.800000000000004
49,1.2102375358343125,63.9
