,S_loss,S_valid_acc
0,4.504103600978851,19.8
1,4.384956252574921,24.099999999999998
2,4.346780383586884,26.1
3,4.304892039299011,26.6
4,4.265484297275544,30.4
5,4.241843116283417,24.4
6,4.2579528331756595,26.200000000000003
7,4.232633054256439,28.9
8,4.204027140140534,30.599999999999998
9,4.203627049922943,31.5
10,4.187477695941925,32.7
11,4.1522031903266905,30.5
12,4.20406893491745,32.0
13,4.1570945382118225,31.1
14,4.141240024566651,31.3
15,4.121227014064789,33.800000000000004
16,4.104746717214584,34.9
17,4.082166719436645,34.4
18,4.09203935265541,34.9
19,4.084877401590347,35.5
20,4.0952820718288425,33.900000000000006
21,4.072230577468872,36.5
22,4.058793717622757,37.8
23,4.067596799135208,34.699999999999996
24,4.051458990573883,34.8
25,4.045652282238007,36.3
26,4.063359618186951,36.7
27,4.044113183021546,39.4
28,4.0258522689342495,36.199999999999996
29,4.026185941696167,39.800000000000004
30,3.9934762358665465,39.4
31,3.9874607920646667,37.9
32,3.9934062600135802,39.4
33,3.9937386512756348,40.5
34,3.9879782617092134,43.1
35,3.9790646135807037,37.5
36,3.9543181896209716,39.300000000000004
37,3.9658146262168885,42.199999999999996
38,3.947292548418045,41.9
39,3.9720417082309725,39.0
40,3.9487664103507996,38.5
41,3.9681635558605195,43.7
42,3.9498731553554536,41.8
43,3.9588755667209625,43.6
44,3.931483793258667,41.3
45,3.9574380457401275,41.199999999999996
46,3.9396848380565643,41.099999999999994
47,3.89962842464447,42.9
48,3.9115818083286285,42.699999999999996
49,3.8857551336288454,43.2
50,3.911102259159088,41.4
51,3.919256407022476,45.2
52,3.886679929494858,43.2
53,3.88167028427124,43.6
54,3.86451416015625,42.9
55,3.8863069832324983,42.3
56,3.8876604318618773,42.3
57,3.88002969622612,45.2
58,3.8729813158512116,48.4
59,3.8738471925258637,43.2
60,3.855240762233734,43.1
61,3.859389138221741,45.6
62,3.8561714768409727,44.9
63,3.8566906571388246,43.8
64,3.850334268808365,41.6
65,3.852249503135681,42.699999999999996
66,3.8538725793361666,40.2
67,3.8437111377716064,42.8
68,3.846312814950943,47.099999999999994
69,3.8308769345283507,44.800000000000004
70,3.8118835747241975,45.0
71,3.8294062197208403,42.699999999999996
72,3.8228823602199555,44.9
73,3.803878057003021,45.1
74,3.8017611503601074,46.5
75,3.7972925007343292,46.800000000000004
76,3.817195302248001,46.5
77,3.8103538036346434,48.199999999999996
78,3.795916724205017,43.9
79,3.7990301311016084,45.0
80,3.792779642343521,47.4
81,3.7956626772880555,46.800000000000004
82,3.761891412734985,50.0
83,3.7853952407836915,45.800000000000004
84,3.788268709182739,47.3
85,3.779607021808624,47.199999999999996
86,3.785961723327637,48.4
87,3.7698543071746826,50.9
88,3.771704059839249,46.400000000000006
89,3.7802407145500183,44.4
90,3.7842468142509462,48.4
91,3.785990470647812,45.5
92,3.7976089835166933,49.1
93,3.779518187046051,47.0
94,3.776667320728302,49.9
95,3.781796771287918,47.4
96,3.7503570079803468,49.7
97,3.7675116062164307,44.3
98,3.7743577539920805,48.6
99,3.7474225580692293,51.0
