,G_loss,D_loss,D_valid_acc
0,-0.4213146686553955,3.7269295275211336,20.8
1,-0.4236037939786911,3.4364880859851836,23.200000000000003
2,-0.4167543351650238,3.3926425516605376,24.9
3,-0.39184934794902804,3.3494168281555177,25.0
4,-0.47937875986099243,3.3005419075489044,22.7
5,-0.6070191591978074,3.5126293897628784,24.3
6,-0.5453053086996078,3.3154875338077545,28.599999999999998
7,-0.5098899960517883,3.275724869966507,26.6
8,-0.45142972767353057,3.118479722738266,32.7
9,-0.44651258289813994,3.0949576079845427,28.999999999999996
10,-0.47452843487262725,3.1387702584266663,26.8
11,-0.4490504443645477,3.0181371688842775,32.2
12,-0.49605042636394503,3.173210710287094,31.8
13,-0.5570056557655334,3.2459201395511625,34.5
14,-0.4869678854942322,3.1254061341285704,37.1
15,-0.5652800172567367,3.225412482023239,31.3
16,-0.4788653373718262,3.060888093709946,33.1
17,-0.4502812445163727,2.997827684879303,33.1
18,-0.5114570677280426,3.116006886959076,35.9
19,-0.4599789023399353,2.9998395800590516,36.8
20,-0.42419918179512023,2.9206332862377167,36.9
21,-0.459790974855423,2.9823736786842345,39.0
22,-0.398857569694519,2.756283611059189,36.0
23,-0.39702039659023286,2.7650444507598877,39.7
24,-0.3252576649188995,2.561189365386963,38.2
25,-0.29953998923301695,2.529987931251526,39.4
26,-0.27947956025600434,2.468240439891815,40.400000000000006
27,-0.3152394324541092,2.523464787006378,39.800000000000004
28,-0.3047578245401382,2.4676189601421354,38.5
29,-0.3563967853784561,2.6264398872852324,36.199999999999996
30,-0.3535040199756622,2.6293475151062013,41.0
31,-0.3260138541460037,2.5426220118999483,42.1
32,-0.2520932197570801,2.3041748821735384,40.5
33,-0.2761384457349777,2.3033123195171354,41.3
34,-0.252193546295166,2.269556164741516,40.400000000000006
35,-0.22686294615268707,2.178250199556351,42.699999999999996
36,-0.24186522960662843,2.2392158091068266,40.6
37,-0.27120342254638674,2.3288612723350526,43.5
38,-0.2649541825056076,2.290675920248032,43.2
39,-0.21271177232265473,2.133107852935791,44.0
40,-0.20305263996124268,2.088017350435257,38.800000000000004
41,-0.1906550794839859,2.070181268453598,41.699999999999996
42,-0.19756990075111389,2.102996164560318,41.4
43,-0.18524601459503173,2.031235945224762,44.6
44,-0.24968279898166656,2.258016449213028,45.4
45,-0.26905219852924345,2.3719118535518646,44.3
46,-0.19225759208202362,2.005673509836197,41.8
47,-0.30019788146018983,2.3609924018383026,45.4
48,-0.19661797881126403,1.987706756591797,41.099999999999994
49,-0.18703688979148864,1.941332709789276,43.0
50,-0.18846409320831298,1.9940110445022583,44.7
51,-0.18142656087875367,1.9598084688186646,49.2
52,-0.2501991540193558,2.1861315429210664,43.8
53,-0.16373904347419738,1.959959375858307,44.800000000000004
54,-0.16820775866508483,1.929993784427643,47.099999999999994
55,-0.17503657042980195,1.926257026195526,48.199999999999996
56,-0.22475046813488006,2.0113497734069825,46.6
57,-0.2373565226793289,2.045956182479858,48.8
58,-0.37001994252204895,2.3381084501743317,39.900000000000006
59,-0.26092906594276427,2.191219228506088,44.800000000000004
60,-0.14371047616004945,1.8078146755695343,49.5
61,-0.21105687618255614,2.0287758111953735,47.3
62,-0.2081090033054352,1.9888734579086305,45.2
63,-0.23628519475460052,2.0577225565910338,46.800000000000004
64,-0.20285190641880035,1.945420926809311,46.7
65,-0.17426194548606871,1.8608489811420441,46.6
66,-0.21421630084514617,1.8987713634967804,45.6
67,-0.1561190664768219,1.819888997077942,45.9
68,-0.14937901496887207,1.7787228226661682,47.699999999999996
69,-0.15723361372947692,1.7774734377861023,50.4
70,-0.1575847327709198,1.7723385870456696,50.3
71,-0.16563063263893127,1.8513964891433716,50.4
72,-0.23721467852592468,2.032794690132141,33.900000000000006
73,-0.3056789845228195,2.353104132413864,47.599999999999994
74,-0.18988595604896547,1.8865134239196777,46.400000000000006
75,-0.1754334509372711,1.830316948890686,49.0
76,-0.16396373510360718,1.7385639667510986,47.5
77,-0.17553454637527466,1.8005260825157166,49.1
78,-0.21345506310462953,1.9223530888557434,47.699999999999996
79,-0.1570042848587036,1.7584377110004425,51.2
80,-0.23286056220531465,2.018909937143326,44.9
81,-0.1787339746952057,1.7733174204826354,46.9
82,-0.17334192991256714,1.7616028308868408,49.8
83,-0.2253787875175476,1.9466094672679901,43.4
84,-0.22245510816574096,1.9435598373413085,49.2
85,-0.13003329932689667,1.6612808048725127,46.800000000000004
86,-0.20819936990737914,1.9325377821922303,48.6
87,-0.16395912766456605,1.7397902607917786,50.8
88,-0.19592572450637818,1.8293429017066956,50.1
89,-0.18388428390026093,1.8220164120197295,50.0
90,-0.29359069764614104,1.902009332180023,41.0
91,-0.5681622609496116,2.3611930191516874,33.5
92,-0.27488772571086884,1.8317571580410004,35.699999999999996
93,-0.13929351270198823,1.6193699777126311,43.7
94,-0.33034814298152926,1.9530077874660492,48.8
95,-0.2721558541059494,2.0296667993068693,47.5
96,-0.12090343236923218,1.5965154051780701,46.2
97,-0.11381470561027526,1.5632858395576477,51.1
98,-0.14477484822273254,1.632656592130661,52.400000000000006
99,-0.15831387042999268,1.6543283581733703,51.800000000000004
100,-0.12992805242538452,1.6329350411891936,45.7
101,-0.14193384647369384,1.6416369438171388,52.7
102,-0.20968283116817474,1.7996857523918153,48.8
103,-0.2254994511604309,1.9461793661117555,52.2
104,-0.18283236026763916,1.7140767455101014,54.900000000000006
105,-0.18894615173339843,1.7866538047790528,53.400000000000006
106,-0.1681102395057678,1.7202016055583953,52.6
107,-0.13144089579582213,1.5279533982276916,53.2
108,-0.16588457822799682,1.655036062002182,52.0
109,-0.20686088800430297,1.8229472279548644,52.7
110,-0.164409077167511,1.6657150030136108,53.400000000000006
111,-0.6052859663963318,2.263821929693222,45.0
112,-1.833167278766632,3.4177773892879486,44.2
113,-1.534626081585884,3.2605149805545808,34.599999999999994
114,-0.7465315788984299,2.5387476801872255,43.1
115,-0.11082687377929687,1.5055047512054442,42.699999999999996
116,-0.08669970035552979,1.4437204003334045,46.1
117,-0.12580442428588867,1.5328973829746246,45.4
118,-0.1098716676235199,1.441261637210846,40.6
119,-0.26281760036945345,1.77678901553154,44.800000000000004
